Day, Time, Open Price, High Price, Low Price, Close Price
2020-07-08, 2020-07-08T16:08:36, 4071.4, 4071.6, 4071.3, 4071.6
2020-07-08, 2020-07-08T16:08:37, 4072.3, 4072.3, 4072.3, 4072.3
2020-07-08, 2020-07-08T16:08:39, None, None, None, None
2020-07-08, 2020-07-08T16:08:41, 4071.6, 4071.9, 4071.6, 4071.9
2020-07-08, 2020-07-08T16:08:42, 4071.6, 4071.6, 4071.6, 4071.6
2020-07-08, 2020-07-08T16:08:43, 4072.3, 4072.3, 4072.3, 4072.3
2020-07-08, 2020-07-08T16:08:45, 4071.9, 4071.9, 4071.9, 4071.9
2020-07-08, 2020-07-08T16:08:46, 4072.3, 4072.3, 4072.3, 4072.3
2020-07-08, 2020-07-08T16:08:47, 4071.9, 4071.9, 4071.9, 4071.9
2020-07-08, 2020-07-08T16:08:49, 4071.6, 4072.3, 4071.6, 4072.3
2020-07-08, 2020-07-08T16:08:51, None, None, None, None
2020-07-08, 2020-07-08T16:08:53, None, None, None, None
2020-07-08, 2020-07-08T16:08:54, None, None, None, None
2020-07-08, 2020-07-08T16:08:56, 4071.9, 4071.9, 4071.3, 4071.3
2020-07-08, 2020-07-08T16:08:57, 4070.9, 4070.9, 4070.9, 4070.9
2020-07-08, 2020-07-08T16:08:59, 4071.3, 4071.3, 4070.9, 4070.9
2020-07-08, 2020-07-08T16:09:00, 4070.6, 4070.6, 4069.9, 4069.9
2020-07-08, 2020-07-08T16:09:01, 4070.3, 4070.3, 4069.4, 4069.4
2020-07-08, 2020-07-08T16:09:02, 4069.6, 4070.3, 4069.6, 4069.9
2020-07-08, 2020-07-08T16:09:03, 4069.6, 4069.6, 4069.6, 4069.6
2020-07-08, 2020-07-08T16:09:04, 4070.3, 4070.3, 4070.3, 4070.3
2020-07-08, 2020-07-08T16:09:07, 4070.6, 4070.6, 4070.4, 4070.4
2020-07-08, 2020-07-08T16:09:08, 4070.3, 4070.3, 4070.3, 4070.3
2020-07-08, 2020-07-08T16:09:09, None, None, None, None
2020-07-08, 2020-07-08T16:09:10, None, None, None, None
2020-07-08, 2020-07-08T16:09:13, 4069.3, 4069.9, 4069.3, 4069.3
2020-07-08, 2020-07-08T16:09:14, 4069.9, 4069.9, 4069.9, 4069.9
2020-07-08, 2020-07-08T16:09:15, None, None, None, None
2020-07-08, 2020-07-08T16:09:16, 4069.4, 4069.9, 4069.3, 4069.4
2020-07-08, 2020-07-08T16:09:17, 4069.6, 4069.9, 4069.6, 4069.9
2020-07-08, 2020-07-08T16:09:18, 4070.3, 4070.3, 4070.3, 4070.3
2020-07-08, 2020-07-08T16:09:19, 4069.6, 4069.6, 4069.3, 4069.3
2020-07-08, 2020-07-08T16:09:25, None, None, None, None
2020-07-08, 2020-07-08T16:09:26, 4068.6, 4068.6, 4068.6, 4068.6
2020-07-08, 2020-07-08T16:09:27, 4068.9, 4068.9, 4068.9, 4068.9
2020-07-08, 2020-07-08T16:09:28, None, None, None, None
2020-07-08, 2020-07-08T16:09:31, 4069.3, 4069.3, 4069.3, 4069.3
2020-07-08, 2020-07-08T16:09:34, 4069.4, 4069.4, 4069.3, 4069.3
2020-07-08, 2020-07-08T16:09:35, 4069.4, 4069.6, 4069.4, 4069.6
2020-07-08, 2020-07-08T16:09:36, 4069.9, 4070.3, 4069.9, 4070.3
